pub_date,word_count,section_display_name,,
7/1/12 0:15,193,Fashion & Style,,
7/1/12 0:15,137,Fashion & Style,,
7/1/12 0:15,223,Fashion & Style,,
7/1/12 0:15,271,Fashion & Style,,
7/1/12 0:15,150,Fashion & Style,,
7/1/12 0:15,374,Fashion & Style,,
7/1/12 0:15,217,Fashion & Style,,
7/1/12 0:15,128,Fashion & Style,,
7/1/12 0:15,170,Fashion & Style,,
7/1/12 0:15,278,Fashion & Style,,
7/1/12 0:15,135,Fashion & Style,,
7/1/12 0:15,210,Fashion & Style,,
7/1/12 0:15,192,Fashion & Style,,
7/1/12 0:15,221,Fashion & Style,,
7/1/12 0:15,207,Fashion & Style,,
7/1/12 0:15,429,Fashion & Style,,
7/1/12 0:15,182,Fashion & Style,,
7/1/12 0:15,169,Fashion & Style,,
7/1/12 0:15,230,Fashion & Style,,
7/1/12 0:15,196,Fashion & Style,,
7/1/12 0:15,217,Fashion & Style,,
7/1/12 0:16,233,Fashion & Style,,
7/1/12 0:16,191,Fashion & Style,,
7/1/12 0:16,184,Fashion & Style,,
7/1/12 0:16,345,Fashion & Style,,
7/1/12 0:16,267,Fashion & Style,,
7/1/12 0:16,166,Fashion & Style,,
7/1/12 0:16,622,Fashion & Style,,
7/1/12 0:16,164,Fashion & Style,,
7/1/12 0:16,278,Fashion & Style,,
7/1/12 0:16,284,Fashion & Style,,
7/1/12 0:16,186,Fashion & Style,,
7/1/12 0:16,264,Fashion & Style,,
7/1/12 0:16,251,Fashion & Style,,
7/1/12 0:16,236,Fashion & Style,,
7/1/12 0:16,174,Fashion & Style,,
7/1/12 0:16,133,Fashion & Style,,
7/1/12 0:16,145,Fashion & Style,,
7/1/12 0:16,205,Fashion & Style,,
7/1/12 0:16,169,Fashion & Style,,
7/1/12 0:16,126,Fashion & Style,,
7/1/12 0:16,122,Fashion & Style,,
7/1/12 0:16,195,Fashion & Style,,
7/1/12 0:16,535,Fashion & Style,,
7/1/12 0:16,149,Fashion & Style,,
7/1/12 0:16,207,Fashion & Style,,
7/1/12 0:16,150,Fashion & Style,,
7/1/12 0:17,164,Fashion & Style,,
7/1/12 5:46,888,World,,
7/1/12 6:07,821,World,,
7/1/12 6:07,342,World,,
7/1/12 6:30,1280,Fashion & Style,,
7/1/12 7:25,854,Opinion,,
7/1/12 7:26,290,Opinion,,
7/1/12 8:29,1331,Technology,,
7/1/12 9:14,576,World,,
7/1/12 9:24,165,Opinion,,
7/1/12 11:20,892,U.S.,,
7/1/12 12:00,1159,N.Y. / Region,,
7/1/12 13:10,953,Business Day,,
7/1/12 13:10,1069,Business Day,,
7/1/12 13:20,753,N.Y. / Region,,
7/1/12 13:44,359,Fashion & Style,,
7/1/12 13:48,811,Fashion & Style,,
7/1/12 13:55,1844,World,,
7/1/12 14:15,1307,Books,,
7/1/12 14:51,1175,Technology,,
7/1/12 14:58,1202,U.S.,,
7/1/12 15:37,381,World,,
7/1/12 15:49,483,Arts,,
7/1/12 16:20,682,U.S.,,
7/1/12 17:04,827,Movies,,
7/1/12 17:05,980,Sports,,
7/1/12 17:09,1079,Arts,,
7/1/12 17:35,118,Books,,
7/1/12 17:43,810,Sports,,
7/1/12 17:45,1139,Business Day,,
7/1/12 17:56,832,Sports,,
7/1/12 17:57,183,Opinion,,
7/1/12 17:58,315,Crosswords & Games,,
7/1/12 18:01,1034,World,,
7/1/12 18:02,999,Books,,
7/1/12 18:04,179,Opinion,,
7/1/12 18:04,537,Arts,,
7/1/12 18:07,600,Arts,,
7/1/12 18:11,954,Arts,,
7/1/12 18:14,859,Business Day,,
7/1/12 18:17,129,Arts,,
7/1/12 18:18,140,Books,,
7/1/12 18:19,937,Business Day,,
7/1/12 18:23,977,Opinion,,
7/1/12 18:30,259,Opinion,,
7/1/12 18:42,1147,Technology,,
7/1/12 18:54,420,World,,
7/1/12 19:21,818,Sports,,
7/1/12 19:26,1272,Opinion,,
7/1/12 19:29,735,Arts,,
7/1/12 19:32,273,U.S.,,
7/1/12 19:33,1302,Business Day,,
7/1/12 19:45,838,Business Day,,
7/1/12 19:48,299,World,,
7/1/12 19:56,503,World,,
7/1/12 20:06,831,Sports,,
7/1/12 20:10,901,Technology,,
7/1/12 20:11,708,Sports,,
7/1/12 20:18,576,Sports,,
7/1/12 20:25,34,Sports,,
7/1/12 20:28,477,Business Day,,
7/1/12 20:28,61,Sports,,
7/1/12 20:31,40,Sports,,
7/1/12 20:38,1116,U.S.,,
7/1/12 20:38,129,Sports,,
7/1/12 20:44,1320,World,,
7/1/12 20:46,282,U.S.,,
7/1/12 20:49,1214,Business Day,,
7/1/12 20:55,1264,N.Y. / Region,,
7/1/12 20:57,874,Sports,,
7/1/12 21:04,910,U.S.,,
7/1/12 21:05,766,Sports,,
7/1/12 21:09,898,World,,
7/1/12 21:10,231,Business Day,,
7/1/12 21:13,96,Business Day,,
7/1/12 21:17,459,Opinion,,
7/1/12 21:19,343,Opinion,,
7/1/12 21:20,280,Opinion,,
7/1/12 21:22,704,N.Y. / Region,,
7/1/12 21:23,565,Opinion,,
7/1/12 21:23,1159,U.S.,,
7/1/12 21:28,815,Opinion,,
7/1/12 21:29,1311,Opinion,,
7/1/12 21:31,817,N.Y. / Region,,
7/1/12 21:46,1103,Sports,,
7/1/12 21:52,591,Education,,
7/1/12 22:05,814,Sports,,
7/1/12 22:12,1028,N.Y. / Region,,
7/1/12 22:26,738,U.S.,,
7/1/12 22:36,858,Sports,,
7/1/12 22:48,765,Sports,,
7/1/12 23:06,699,Sports,,
7/1/12 23:11,1501,Sports,,
7/1/12 23:48,794,Sports,,
7/2/12 0:11,963,Sports,,
7/2/12 0:12,312,Business Day,,
7/2/12 0:15,94,Theater,,
7/2/12 0:23,1322,Sports,,
7/2/12 0:42,1133,World,,
7/2/12 2:02,995,Business Day,,
7/2/12 2:19,1074,World,,
7/2/12 2:46,568,World,,
7/2/12 4:20,349,Technology,,
7/2/12 5:10,524,World,,
7/2/12 5:12,700,Business Day,,
7/2/12 7:40,637,Opinion,,
7/2/12 7:47,797,Opinion,,
